run_name,run_type,count,mean_s,p50_s,p95_s,error_rate,total_tokens_mean,cost_usd_mean,source
ChatOpenAI,llm,439,4.088,1.969,15.95,0.123,1323.6,0.000254,langsmith
ChatGoogleGenerativeAI,llm,192,3.043,1.276,3.634,0.146,4090.9,0.001227,langsmith
context_precision_prompt,chain,175,2.273,1.972,4.259,0.0,1326.5,0.000214,langsmith
rrf_fuse,tool,165,0.005,0.004,0.018,0.0,0.0,0.0,langsmith
TrafficHybridRetriever.get_relevant_chunks,retriever,165,1.039,1.045,2.051,0.0,0.0,0.0,langsmith
response_relevance_prompt,chain,105,1.833,1.394,4.611,0.0,990.9,0.000154,langsmith
LangGraph,chain,72,33.435,11.68,40.963,0.0,10849.9,0.003444,langsmith
RunnableSequence,chain,69,17.847,3.178,5.306,0.029,3691.9,0.001074,langsmith
analyzer,chain,69,17.859,3.183,5.309,0.0,3691.9,0.001074,langsmith
route_by_category,chain,68,0.002,0.001,0.006,0.0,0.0,0.0,langsmith
PydanticToolsParser,parser,66,0.004,0.002,0.011,0.0,0.0,0.0,langsmith
legal_rag,chain,59,27.212,9.828,43.737,0.0,8699.1,0.002666,langsmith
legal_fallback_router,chain,58,0.003,0.003,0.009,0.0,0.0,0.0,langsmith
n_l_i_statement_prompt,chain,35,20.954,14.606,54.317,0.0,2880.9,0.000754,langsmith
long_form_answer_prompt,chain,35,12.09,10.627,29.561,0.0,1942.5,0.000484,langsmith
faithfulness,chain,35,33.06,26.501,71.541,0.0,4823.4,0.001238,langsmith
context_recall_classification_prompt,chain,35,6.207,4.552,10.653,0.0,2172.9,0.000418,langsmith
context_recall,chain,35,6.231,4.556,10.888,0.0,2172.9,0.000418,langsmith
context_precision,chain,35,11.369,10.051,15.714,0.0,6632.5,0.001072,langsmith
answer_relevancy,chain,35,5.885,4.633,10.888,1.0,2972.7,0.000461,langsmith
out_of_scope,chain,7,0.005,0.003,0.007,0.0,0.0,0.0,langsmith
web_finalize,chain,4,0.003,0.003,0.003,0.0,0.0,0.0,langsmith
web_search,chain,4,9.022,9.395,9.395,0.0,4295.5,0.001654,langsmith
chit_chat,chain,2,2.725,2.738,2.713,0.0,144.0,9e-05,langsmith
