qid,category,latency_s,recall@1,recall@3,recall@5,recall@10,recall@20,mrr,ndcg@10
RQ-001,simple_penalty,0.2285170739996829,0.0,0.0,0.0,0.0,1.0,0.0625,0.0
RQ-002,simple_penalty,0.12870692199976475,0.0,0.0,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222
RQ-003,simple_penalty,0.11794332699992083,0.0,0.0,0.0,0.0,0.0,0.024390243902439025,0.0
RQ-004,simple_penalty,0.14479087199924834,0.0,0.0,0.0,1.0,1.0,0.125,0.31546487678572877
RQ-005,simple_penalty,0.12062462500034599,0.5,0.5,0.5,1.0,1.0,1.0,1.0437713091520255
RQ-006,multi_intent,0.14328340100018977,0.0,0.0,0.0,0.0,0.5,0.07692307692307693,0.0
RQ-007,multi_intent,0.11728459700043459,0.5,0.5,0.5,0.5,0.5,1.0,0.8772153153380493
RQ-008,multi_intent,0.1356829899996228,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ-009,multi_intent,0.1294071239999539,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RQ-010,multi_intent,0.10944528599975456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ-011,cross_reference,0.10232474999975238,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.0
RQ-012,cross_reference,0.14056978600001457,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ-013,cross_reference,0.10114864899969689,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.3333333333333333
RQ-014,cross_reference,0.1393456840005456,0.0,0.0,0.0,0.0,0.0,0.014084507042253521,0.0
RQ-015,cross_reference,0.1237509910006338,0.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.5
RQ-016,procedure,0.104911391999849,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RQ-017,procedure,0.08263599400015664,0.0,0.0,1.0,1.0,1.0,0.25,0.43067655807339306
RQ-018,procedure,0.07824144999995042,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ-019,procedure,0.0860780960001648,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RQ-020,procedure,0.10592288599946187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
