model,qid,category,recall@5,recall@10,recall@20,mrr,ndcg@10
vietnamese-sbert,RQ-001,simple_penalty,0.0,1.0,1.0,0.125,0.31546487678572877
vietnamese-sbert,RQ-002,simple_penalty,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812
vietnamese-sbert,RQ-003,simple_penalty,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-004,simple_penalty,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-005,simple_penalty,0.5,1.0,1.0,0.5,0.7898359408322739
vietnamese-sbert,RQ-006,multi_intent,0.0,0.0,0.5,0.08333333333333333,0.0
vietnamese-sbert,RQ-007,multi_intent,0.0,0.0,1.0,0.08333333333333333,0.0
vietnamese-sbert,RQ-008,multi_intent,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-009,multi_intent,1.0,1.0,1.0,0.3333333333333333,0.5
vietnamese-sbert,RQ-010,multi_intent,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-011,cross_reference,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-012,cross_reference,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-013,cross_reference,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-014,cross_reference,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-015,cross_reference,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-016,procedure,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-017,procedure,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-018,procedure,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-019,procedure,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-020,procedure,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-026,ambiguous_short,0.0,0.5,0.5,0.16666666666666666,0.21840743681816419
vietnamese-sbert,RQ-027,ambiguous_short,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-028,ambiguous_short,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.2960819109658652
vietnamese-sbert,RQ-029,ambiguous_short,0.0,0.0,0.0,0.0,0.0
vietnamese-sbert,RQ-030,ambiguous_short,1.0,1.0,1.0,0.25,0.43067655807339306
vietnamese-sbert,RQ-031,compound_action,0.0,1.0,1.0,0.1111111111111111,0.3010299956639812
vietnamese-sbert,RQ-032,compound_action,0.5,0.5,0.5,0.2,0.23719771276929622
