variant,qid,category,used_query,r_at_5,r_at_10,mrr,ndcg_10,f1_token,rouge_l,cit_p,cit_r,cit_f1,refusal,latency_s,pred_answer,standalone_query
NO_REWRITE,RQ-001,simple_penalty,Vượt đèn đỏ đi xe máy phạt bao nhiêu tiền?,0.0,0.0,0.0,0.0,0.6554621848739497,0.6172304134142816,0.0,0.0,0.0,False,11.888849424998625,"### Phạt đối với xe mô tô, xe gắn máy vượt đèn đỏ

- Hành vi **không chấp hành hiệu lệnh của đèn tín hiệu giao thông** (vượt đèn đỏ): Phạt tiền từ **600.000 đồng** đến **800.000 đồng** [Điều 7, Khoản 3, Điểm a — NĐ 168/2024/NĐ-CP].
- Ngoài ra, người điều khiển xe còn bị **trừ 02 điểm** giấy phép lái xe [Điều 7, Khoản 13, Điểm a — NĐ 168/2024/NĐ-CP].",
NO_REWRITE,RQ-002,simple_penalty,Nồng độ cồn mức 1 đối với ô tô phạt bao nhiêu?,0.0,0.0,0.0,0.0,0.49484536082474223,0.5213675213675214,0.0,0.0,0.0,False,7.090503811996314,"### Phạt đối với xe ô tô vi phạm nồng độ cồn

- Hành vi điều khiển xe ô tô trên đường mà trong máu hoặc hơi thở có nồng độ cồn vượt quá **50 miligam đến 80 miligam/100 mililít máu** hoặc vượt quá **0,25 miligam đến 0,4 miligam/1 lít khí thở**: Phạt tiền từ **18.000.000 đồng** đến **20.000.000 đồng** + trừ **04 điểm** GPLX [Điều 6, Khoản 9, Điểm a — NĐ 168/2024/NĐ-CP] [Điều 6, Khoản 16, Điểm b — NĐ 168/2024/NĐ-CP].

*Lưu ý: Tài liệu được cung cấp không quy định cụ thể mức phạt cho ""nồng độ cồn mứ",
NO_REWRITE,RQ-003,simple_penalty,Không đội mũ bảo hiểm bị phạt bao nhiêu?,0.0,0.0,0.02127659574468085,0.0,0.2310030395136778,0.2675129832660127,0.0,0.0,0.0,False,64.95917160800309,"### 1. Đối với người điều khiển xe mô tô, xe gắn máy
- Hành vi **không đội mũ bảo hiểm** hoặc đội mũ bảo hiểm **không cài quai đúng quy cách**: Phạt tiền từ **400.000 đồng** đến **600.000 đồng** [Điều 7, Khoản 2, Điểm h — NĐ 168/2024/NĐ-CP].
- Hành vi **chở người ngồi trên xe không đội mũ bảo hiểm** hoặc đội mũ bảo hiểm không cài quai đúng quy cách (trừ trường hợp chở người bệnh đi cấp cứu, trẻ em dưới 06 tuổi, áp giải người có hành vi vi phạm pháp luật): Phạt tiền từ **400.000 đồng** đến **600.",
NO_REWRITE,RQ-004,simple_penalty,Đi xe máy vào đường cao tốc phạt bao nhiêu?,0.0,0.0,0.02040816326530612,0.0,0.5753424657534246,0.5855531557475401,0.0,0.0,0.0,False,7.222497394999664,"### Phạt đối với xe mô tô, xe gắn máy đi vào đường cao tốc

- Hành vi điều khiển xe mô tô, xe gắn máy, các loại xe tương tự xe mô tô và các loại xe tương tự xe gắn máy đi vào đường cao tốc (trừ xe phục vụ việc quản lý, bảo trì đường cao tốc): Phạt tiền từ **4.000.000 đồng** đến **6.000.000 đồng** + trừ **06 điểm** giấy phép lái xe [Điều 7, Khoản 7, Điểm b — NĐ 168/2024/NĐ-CP] [Điều 7, Khoản 13, Điểm c — NĐ 168/2024/NĐ-CP].",
NO_REWRITE,RQ-005,simple_penalty,Bấm còi trong đô thị từ 22 giờ đến 5 giờ sáng bị phạt thế nào?,1.0,1.0,1.0,1.1144130281073454,0.3984375,0.3390820980615736,0.6666666666666666,1.0,0.8,False,16.09340236900607,"### 1. Đối với xe mô tô, xe gắn máy
- Hành vi sử dụng còi trong thời gian từ **22 giờ** ngày hôm trước đến **05 giờ** ngày hôm sau trong khu đông dân cư, khu vực cơ sở khám bệnh, chữa bệnh (trừ xe ưu tiên): Phạt tiền từ **200.000 đồng** đến **400.000 đồng** [Điều 7, Khoản 1, Điểm i — NĐ 168/2024/NĐ-CP].

### 2. Đối với xe ô tô và các loại xe tương tự xe ô tô
- Hành vi sử dụng còi trong thời gian từ **22 giờ** ngày hôm trước đến **05 giờ** ngày hôm sau trong khu đông dân cư, khu vực cơ sở khám bệ",
NO_REWRITE,RQ-006,multi_intent,Vượt đèn đỏ và không mang bằng lái xe máy thì bị phạt tổng cộng bao nhiêu?,0.0,0.5,0.14285714285714285,0.20438239758848611,0.327683615819209,0.2820100502512563,0.0,0.0,0.0,True,7.497072329999355,"### 1. Hành vi vượt đèn đỏ
- Người điều khiển xe mô tô, xe gắn máy không chấp hành hiệu lệnh của đèn tín hiệu giao thông: Phạt tiền từ **4.000.000 đồng** đến **6.000.000 đồng** [Điều 7, Khoản 7, Điểm c — NĐ 168/2024/NĐ-CP].

### 2. Hành vi không mang bằng lái xe
- Thông tin về mức phạt đối với hành vi không mang giấy phép lái xe (bằng lái) khi điều khiển xe mô tô, xe gắn máy không có trong tài liệu được cung cấp.

**Lưu ý:** Tổng mức phạt tiền cho hai hành vi trên chưa thể xác định chính xác do ",
NO_REWRITE,RQ-007,multi_intent,Xe máy chở 3 người và không đội mũ bảo hiểm bị phạt thế nào?,0.5,0.5,1.0,0.8503449055347546,0.27237354085603116,0.2365020103388857,0.2857142857142857,1.0,0.4444444444444445,False,8.003916487999959,"### Phạt đối với xe mô tô, xe gắn máy chở 3 người và không đội mũ bảo hiểm

Hành vi vi phạm của người điều khiển xe mô tô, xe gắn máy được quy định như sau:

- **Hành vi chở theo từ 03 người trở lên trên xe**: Phạt tiền từ **600.000 đồng** đến **800.000 đồng** [Điều 7, Khoản 3, Điểm b — NĐ 168/2024/NĐ-CP].
- **Hành vi không đội “mũ bảo hiểm cho người đi mô tô, xe máy” hoặc đội không cài quai đúng quy cách**: Phạt tiền từ **400.000 đồng** đến **600.000 đồng** [Điều 7, Khoản 2, Điểm h — NĐ 168/202",
NO_REWRITE,RQ-008,multi_intent,Hạng B1 và B2 theo luật mới 2024 thay đổi như thế nào?,0.0,0.0,0.0,0.0,0.10526315789473685,0.06998087954110899,0.0,0.0,0.0,True,6.618141455997829,Thông tin này không có trong tài liệu được cung cấp.,
NO_REWRITE,RQ-009,multi_intent,Độ tuổi lái xe máy 50cc và trên 125cc quy định thế nào?,1.0,1.0,1.0,1.0,0.25641025641025644,0.2089613592765141,0.3333333333333333,1.0,0.5,False,7.518389965996903,"### Quy định về độ tuổi điều khiển xe máy

- **Xe gắn máy (bao gồm xe 50cc):** Người từ đủ **16 tuổi** trở lên được phép điều khiển xe gắn máy [Điều 59, Khoản 1, Điểm a — Luật Trật tự ATGT đường bộ 2024].
- **Xe mô tô (bao gồm xe trên 125cc):** Người từ đủ **18 tuổi** trở lên được cấp giấy phép lái xe hạng A1, A để điều khiển các loại xe này [Điều 59, Khoản 1, Điểm b — Luật Trật tự ATGT đường bộ 2024].

---

### Mức phạt đối với người từ đủ 16 tuổi đến dưới 18 tuổi vi phạm

- **Điều khiển xe mô ",
NO_REWRITE,RQ-010,multi_intent,Khi nào bị tịch thu xe và khi nào chỉ bị tạm giữ xe?,0.0,0.0,0.0,0.0,0.16257668711656445,0.11509433962264153,0.0,0.0,0.0,False,9.11851305700111,"Dưới đây là các quy định về việc tịch thu phương tiện và tạm giữ phương tiện dựa trên tài liệu được cung cấp:

### 1. Các trường hợp bị tịch thu phương tiện
Việc tịch thu phương tiện được áp dụng đối với các hành vi vi phạm nghiêm trọng sau đây:

- **Hành vi liên quan đến số khung, số máy:** Cắt, hàn, tẩy xóa, đục sửa, đóng lại trái phép số khung, số máy; hoặc đưa phương tiện đã bị cắt, hàn, tẩy xóa, đục sửa, đóng lại trái phép số khung, số máy tham gia giao thông [Điều 32, Khoản 17, Điểm a — NĐ",
NO_REWRITE,RQ-011,cross_reference,Vi phạm tại điểm a khoản 4 Điều 13 Nghị định 168 bị phạt bao nhiêu?,0.0,0.0,0.01639344262295082,0.0,0.28865979381443296,0.18373493975903613,0.5,1.0,0.6666666666666666,False,7.2484641629998805,"### Phạt đối với người điều khiển xe ô tô
- Hành vi điều khiển xe không có chứng nhận đăng ký xe (hoặc bản sao chứng nhận đăng ký xe có chứng thực kèm theo bản gốc giấy biên nhận của tổ chức tín dụng, chi nhánh ngân hàng nước ngoài trong trường hợp tổ chức tín dụng, chi nhánh ngân hàng nước ngoài giữ bản gốc chứng nhận đăng ký xe) hoặc sử dụng chứng nhận đăng ký xe đã hết hạn sử dụng, hết hiệu lực (kể cả rơ moóc và sơ mi rơ moóc): Phạt tiền từ **2.000.000 đồng** đến **3.000.000 đồng** [Điều 13, ",
NO_REWRITE,RQ-012,cross_reference,Hình thức phạt bổ sung quy định tại khoản 8 Điều 32 NĐ 168 là gì?,0.0,0.0,0.0,0.0,0.03333333333333333,0.029916625796959292,0.0,0.0,0.0,True,6.369890861999011,Thông tin này không có trong tài liệu được cung cấp.,
