chunker,qid,category,latency_s,recall@5_khoan,recall@10_khoan,recall@20_khoan,mrr_khoan,ndcg@10_khoan,recall@5_doc,recall@10_doc,recall@20_doc,mrr_doc,ndcg@10_doc
hierarchical,RQ-001,simple_penalty,1.4047322339974926,0.0,0.0,1.0,0.06666666666666667,0.0,1.0,1.0,1.0,0.5,2.7425293424243646
hierarchical,RQ-002,simple_penalty,0.6665084140040562,0.0,0.0,1.0,0.08333333333333333,0.0,1.0,1.0,1.0,1.0,4.254494511770458
hierarchical,RQ-003,simple_penalty,0.7524840830010362,0.0,0.0,0.0,0.012345679012345678,0.0,1.0,1.0,1.0,1.0,3.8863221553163427
hierarchical,RQ-004,simple_penalty,0.7662261809964548,0.0,0.0,0.0,0.01694915254237288,0.0,1.0,1.0,1.0,1.0,4.254494511770458
hierarchical,RQ-005,simple_penalty,0.4057901310006855,1.0,1.0,1.0,1.0,1.1144130281073454,1.0,1.0,1.0,1.0,3.111599588852907
hierarchical,RQ-006,multi_intent,0.8509687299956568,0.0,0.5,0.5,0.14285714285714285,0.20438239758848611,1.0,1.0,1.0,1.0,2.8366810130175852
hierarchical,RQ-007,multi_intent,0.608347273999243,0.5,0.5,0.5,1.0,0.8503449055347546,1.0,1.0,1.0,1.0,3.4819530264434952
hierarchical,RQ-008,multi_intent,0.412091803002113,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.207323081247355
hierarchical,RQ-009,multi_intent,0.7882003330014413,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9234281553152024
hierarchical,RQ-010,multi_intent,0.9104256979990168,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,1.544089990006545
hierarchical,RQ-011,cross_reference,0.7145609589933883,0.0,0.0,0.0,0.014492753623188406,0.0,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-012,cross_reference,0.6332101400039392,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-013,cross_reference,0.5831396610010415,1.0,1.0,1.0,0.5,2.898287324662436,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-014,cross_reference,0.5806676869979128,0.0,0.0,0.0,0.007751937984496124,0.0,1.0,1.0,1.0,1.0,3.5083530769113365
hierarchical,RQ-015,cross_reference,0.59329980500479,0.0,0.0,1.0,0.0625,0.0,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-016,procedure,0.7892735620043823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.9234281553152024
hierarchical,RQ-017,procedure,0.41031789299449883,0.0,0.0,1.0,0.08333333333333333,0.0,0.0,0.0,1.0,0.08333333333333333,0.0
hierarchical,RQ-018,procedure,0.9095651030002045,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.5
hierarchical,RQ-019,procedure,0.7117131580016576,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0083530769113365
hierarchical,RQ-020,procedure,0.5825857780000661,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.05,0.0
hierarchical,RQ-026,ambiguous_short,0.9283113839992438,0.0,0.0,0.5,0.05263157894736842,0.0,1.0,1.0,1.0,1.0,3.912629584516888
hierarchical,RQ-027,ambiguous_short,0.5880882019991986,0.0,0.0,0.0,0.016129032258064516,0.0,1.0,1.0,1.0,1.0,1.3868528072345416
