chunker,qid,category,latency_s,recall@5_khoan,recall@10_khoan,recall@20_khoan,mrr_khoan,ndcg@10_khoan,recall@5_doc,recall@10_doc,recall@20_doc,mrr_doc,ndcg@10_doc
hierarchical,RQ-001,simple_penalty,0.2423651589997462,0.0,0.0,1.0,0.0625,0.0,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-002,simple_penalty,0.0807043020013225,0.0,1.0,1.0,0.16666666666666666,0.3562071871080222,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-003,simple_penalty,0.07557436699971731,0.0,0.0,0.0,0.024390243902439025,0.0,1.0,1.0,1.0,1.0,3.8676417045359166
hierarchical,RQ-004,simple_penalty,0.0986894729994674,0.0,1.0,1.0,0.125,0.31546487678572877,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-005,simple_penalty,0.10274815199954901,0.5,1.0,1.0,1.0,1.0437713091520255,1.0,1.0,1.0,1.0,3.1235647581990005
hierarchical,RQ-006,multi_intent,0.11349466499996197,0.0,0.0,0.5,0.07692307692307693,0.0,1.0,1.0,1.0,1.0,3.5083530769113365
hierarchical,RQ-007,multi_intent,0.12411856799917587,0.5,0.5,0.5,1.0,0.8772153153380493,1.0,1.0,1.0,1.0,3.255392401744885
hierarchical,RQ-008,multi_intent,0.12645798399898922,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.509250966885763
hierarchical,RQ-009,multi_intent,0.09941622599944822,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5900948219818691
hierarchical,RQ-010,multi_intent,0.11092562900012126,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,1.9747665480799381
hierarchical,RQ-011,cross_reference,0.09417245700024068,0.0,0.0,0.0,0.013333333333333334,0.0,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-012,cross_reference,0.13539749899973685,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-013,cross_reference,0.10298417400008475,0.0,1.0,1.0,0.14285714285714285,0.3333333333333333,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-014,cross_reference,0.12593877099970996,0.0,0.0,0.0,0.014084507042253521,0.0,1.0,1.0,1.0,1.0,4.156706530853804
hierarchical,RQ-015,cross_reference,0.10510623200025293,1.0,1.0,1.0,0.3333333333333333,0.5,1.0,1.0,1.0,1.0,4.543559338088346
hierarchical,RQ-016,procedure,0.09366652899916517,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0050053972270843
hierarchical,RQ-017,procedure,0.0959941519995482,1.0,1.0,1.0,0.25,0.43067655807339306,1.0,1.0,1.0,0.25,1.0650398870707076
hierarchical,RQ-018,procedure,0.09152222000011534,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3333333333333333,0.5
hierarchical,RQ-019,procedure,0.10750807399926998,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0083530769113365
hierarchical,RQ-020,procedure,0.10421352899902558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0625,0.0
hierarchical,RQ-021,out_of_scope,0.10807881400069164,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
hierarchical,RQ-022,out_of_scope,0.10503454799982137,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
hierarchical,RQ-023,out_of_scope,0.08764516299925162,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
hierarchical,RQ-024,out_of_scope,0.10491247000027215,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
hierarchical,RQ-025,out_of_scope,0.0948158949995559,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0
fixed_512,RQ-001,simple_penalty,0.1372828989988193,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.543559338088346
fixed_512,RQ-002,simple_penalty,0.04873412899905816,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.543559338088346
fixed_512,RQ-003,simple_penalty,0.04369869100082724,0.0,0.0,0.0,0.029411764705882353,0.0,1.0,1.0,1.0,1.0,4.543559338088346
fixed_512,RQ-004,simple_penalty,0.04190187299900572,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.543559338088346
fixed_512,RQ-005,simple_penalty,0.04593876999933855,0.5,1.0,1.0,0.3333333333333333,0.4911492931622974,1.0,1.0,1.0,1.0,2.9518926943052493
fixed_512,RQ-006,multi_intent,0.043954841001323075,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,4.210226004755013
