variant,qid,category,used_query,r_at_5,r_at_10,mrr,ndcg_10,f1_token,rouge_l,cit_p,cit_r,cit_f1,refusal,latency_s,pred_answer,standalone_query
NO_REWRITE,RQ-001,simple_penalty,Vượt đèn đỏ đi xe máy phạt bao nhiêu tiền?,0.0,0.0,0.02127659574468085,0.0,0.5517241379310345,0.5407801418439716,0.0,0.0,0.0,False,7.650417855998967,"### Phạt đối với xe mô tô, xe gắn máy khi vượt đèn đỏ

- Hành vi **không chấp hành hiệu lệnh của đèn tín hiệu giao thông**: Phạt tiền từ **4.000.000 đồng** đến **6.000.000 đồng** [Điều 7, Khoản 7, Điểm c — NĐ 168/2024/NĐ-CP].

*Lưu ý: Tài liệu được cung cấp không liệt kê số điểm trừ GPLX cụ thể cho hành vi này tại Điều 7.*",
NO_REWRITE,RQ-002,simple_penalty,Nồng độ cồn mức 1 đối với ô tô phạt bao nhiêu?,0.0,1.0,0.16666666666666666,0.3562071871080222,0.7027027027027027,0.715336859048057,0.5,1.0,0.6666666666666666,False,5.719312094999623,"### Phạt đối với người điều khiển xe ô tô vi phạm nồng độ cồn

- Hành vi điều khiển xe trên đường mà trong máu hoặc hơi thở có nồng độ cồn nhưng chưa vượt quá **50 miligam/100 mililít máu** hoặc chưa vượt quá **0,25 miligam/1 lít khí thở**: Phạt tiền từ **6.000.000 đồng** đến **8.000.000 đồng** + trừ **04 điểm** GPLX [Điều 6, Khoản 6, Điểm c — NĐ 168/2024/NĐ-CP] [Điều 6, Khoản 16, Điểm b — NĐ 168/2024/NĐ-CP].",
NO_REWRITE,RQ-003,simple_penalty,Không đội mũ bảo hiểm bị phạt bao nhiêu?,0.0,0.0,0.03571428571428571,0.0,0.2422360248447205,0.2802120141342756,0.25,1.0,0.4,False,6.967487425998115,"### 1. Đối với người điều khiển xe mô tô, xe gắn máy
- Hành vi không đội “mũ bảo hiểm cho người đi mô tô, xe máy” hoặc đội mũ bảo hiểm không cài quai đúng quy cách khi điều khiển xe tham gia giao thông: Phạt tiền từ **600.000 đồng** đến **800.000 đồng** [Điều 7, Khoản 2, Điểm h — NĐ 168/2024/NĐ-CP] [Điều 7, Khoản 3 — NĐ 168/2024/NĐ-CP].

### 2. Đối với người được chở trên xe mô tô, xe gắn máy
- Hành vi không đội “mũ bảo hiểm cho người đi mô tô, xe máy” hoặc đội mũ bảo hiểm không cài quai đúng qu",
NO_REWRITE,RQ-004,simple_penalty,Đi xe máy vào đường cao tốc phạt bao nhiêu?,0.0,1.0,0.125,0.31546487678572877,0.6280991735537189,0.585544889892716,0.0,0.0,0.0,False,5.838241949000803,"### Phạt đối với xe mô tô, xe gắn máy đi vào đường cao tốc

- Hành vi **điều khiển xe đi vào đường cao tốc** (trừ xe phục vụ việc quản lý, bảo trì đường cao tốc): Phạt tiền từ **4.000.000 đồng** đến **6.000.000 đồng** + trừ **06 điểm** GPLX [Điều 7, Khoản 7, Điểm b — NĐ 168/2024/NĐ-CP] [Điều 7, Khoản 13, Điểm c — NĐ 168/2024/NĐ-CP].",
NO_REWRITE,RQ-005,simple_penalty,Bấm còi trong đô thị từ 22 giờ đến 5 giờ sáng bị phạt thế nào?,0.5,1.0,1.0,1.0437713091520255,0.43999999999999995,0.3367165242165242,0.5,1.0,0.6666666666666666,False,6.28894478300208,"### Phạt đối với hành vi sử dụng còi trong đô thị từ 22 giờ đến 05 giờ sáng

- **Đối với người điều khiển xe ô tô và các loại xe tương tự xe ô tô:**
    - Phạt tiền từ **400.000 đồng** đến **600.000 đồng** [Điều 6, Khoản 1, Điểm đ — NĐ 168/2024/NĐ-CP].

- **Đối với người điều khiển xe mô tô, xe gắn máy và các loại xe tương tự:**
    - Phạt tiền từ **400.000 đồng** đến **600.000 đồng** [Điều 7, Khoản 2 — NĐ 168/2024/NĐ-CP] [Điều 7, Khoản 1, Điểm i — NĐ 168/2024/NĐ-CP].

*Lưu ý: Quy định này áp dụ",
NO_REWRITE,RQ-006,multi_intent,Vượt đèn đỏ và không mang bằng lái xe máy thì bị phạt tổng cộng bao nhiêu?,0.0,0.0,0.0,0.0,0.032786885245901634,0.029397590361445784,0.0,0.0,0.0,True,5.5144190799983335,Thông tin này không có trong tài liệu được cung cấp.,
NO_REWRITE,RQ-007,multi_intent,Xe máy chở 3 người và không đội mũ bảo hiểm bị phạt thế nào?,0.5,0.5,1.0,0.8772153153380493,0.15,0.138912610304583,0.5,0.5,0.5,False,9.388099520998367,"### Phạt đối với xe mô tô, xe gắn máy chở quá số người và không đội mũ bảo hiểm

- **Hành vi chở quá số người quy định:**
    - Người lái xe mô tô hai bánh, xe gắn máy chỉ được chở một người, trừ các trường hợp được chở tối đa hai người gồm: chở người bệnh đi cấp cứu, áp giải người có hành vi vi phạm pháp luật, trẻ em dưới 12 tuổi, người già yếu hoặc người khuyết tật [Điều 33, Khoản 1 — Luật Trật tự ATGT đường bộ 2024 (36/2024/QH15)].
    - Hành vi chở quá số người quy định thuộc nhóm hành vi đư",
NO_REWRITE,RQ-008,multi_intent,Hạng B1 và B2 theo luật mới 2024 thay đổi như thế nào?,0.0,0.0,0.0,0.0,0.2559241706161137,0.24367509986684416,0.0,0.0,0.0,False,9.222460123000928,"### 1. Quy định chuyển tiếp đối với GPLX hạng B1 và B2
Theo Luật Trật tự, an toàn giao thông đường bộ 2024, các giấy phép lái xe (GPLX) được cấp trước ngày Luật có hiệu lực thi hành nếu chưa thực hiện đổi, cấp lại thì vẫn có hiệu lực sử dụng với các quyền điều khiển phương tiện như sau:

- **GPLX hạng B1 số tự động (cấp cho người không hành nghề lái xe):** Được tiếp tục điều khiển xe ô tô số tự động chở người đến **08 chỗ** (không kể chỗ của người lái xe); xe ô tô tải, kể cả ô tô tải chuyên dùng",
NO_REWRITE,RQ-009,multi_intent,Độ tuổi lái xe máy 50cc và trên 125cc quy định thế nào?,1.0,1.0,1.0,1.0,0.32286995515695066,0.2924933862433863,0.3333333333333333,1.0,0.5,False,6.983915810000326,"### Quy định về độ tuổi điều khiển xe máy

- **Đối với xe gắn máy (bao gồm xe 50cc):** Người từ đủ **16 tuổi** trở lên được phép điều khiển xe gắn máy [Điều 59, Khoản 1, Điểm a — Luật Trật tự ATGT đường bộ 2024].
- **Đối với xe mô tô (bao gồm xe trên 125cc):** Người từ đủ **18 tuổi** trở lên được cấp giấy phép lái xe hạng A1 (cấp cho xe mô tô hai bánh có dung tích xi-lanh đến 125 cm hoặc công suất động cơ điện đến 11 kW) và hạng A [Điều 59, Khoản 1, Điểm b — Luật Trật tự ATGT đường bộ 2024] [Điề",
NO_REWRITE,RQ-010,multi_intent,Khi nào bị tịch thu xe và khi nào chỉ bị tạm giữ xe?,0.0,0.0,0.0,0.0,0.16413373860182368,0.12478082992402106,0.0,0.0,0.0,False,51.81363987899749,"### 1. Các trường hợp bị tịch thu phương tiện
Việc tịch thu phương tiện được áp dụng đối với các hành vi vi phạm nghiêm trọng về điều kiện của phương tiện, cụ thể như sau:

- **Sử dụng giấy tờ giả hoặc không đúng quy định:** Điều khiển xe không có chứng nhận đăng ký xe hoặc sử dụng chứng nhận đăng ký xe không do cơ quan có thẩm quyền cấp, không đúng số khung, số máy của xe hoặc bị tẩy xóa mà không chứng minh được nguồn gốc xuất xứ của phương tiện (không có giấy tờ, chứng nhận nguồn gốc xe, chứng",
