qid,category,latency_s,recall@1,recall@3,recall@5,recall@10,recall@20,mrr,ndcg@10
RQ-001,simple_penalty,0.16714249100186862,0.0,0.0,0.0,0.0,1.0,0.06666666666666667,0.0
RQ-002,simple_penalty,0.1048261719988659,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.0
RQ-003,simple_penalty,0.11089442200318445,0.0,0.0,0.0,0.0,0.0,0.012345679012345678,0.0
RQ-004,simple_penalty,0.09609962299873587,0.0,0.0,0.0,0.0,0.0,0.01694915254237288,0.0
RQ-005,simple_penalty,0.10538954399817158,0.5,0.5,1.0,1.0,1.0,1.0,1.1144130281073454
RQ-006,multi_intent,0.1169833629974164,0.0,0.0,0.0,0.5,0.5,0.14285714285714285,0.20438239758848611
RQ-007,multi_intent,0.11665901100059273,0.5,0.5,0.5,0.5,0.5,1.0,0.8503449055347546
RQ-008,multi_intent,0.1122495399977197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ-009,multi_intent,0.1100156539978343,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RQ-010,multi_intent,0.11099483200086979,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ-011,cross_reference,0.10292289900098694,0.0,0.0,0.0,0.0,0.0,0.014492753623188406,0.0
RQ-012,cross_reference,0.11215723500208696,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ-013,cross_reference,0.1198202460000175,0.0,1.0,1.0,1.0,1.0,0.5,2.898287324662436
RQ-014,cross_reference,0.10398867999901995,0.0,0.0,0.0,0.0,0.0,0.007751937984496124,0.0
RQ-015,cross_reference,0.11050625899952138,0.0,0.0,0.0,0.0,1.0,0.0625,0.0
RQ-016,procedure,0.11375599200255238,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RQ-017,procedure,0.09510032699472504,0.0,0.0,0.0,0.0,1.0,0.08333333333333333,0.0
RQ-018,procedure,0.09364627300237771,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ-019,procedure,0.11652222200063989,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RQ-020,procedure,0.10473800399631727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ-026,ambiguous_short,0.09306965400173794,0.0,0.0,0.0,0.0,0.5,0.05263157894736842,0.0
RQ-027,ambiguous_short,0.0890517119987635,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.0
RQ-028,ambiguous_short,0.10600448400509777,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,0.46927872602275644
RQ-029,ambiguous_short,0.1203591419980512,0.5,0.5,0.5,0.5,0.5,1.0,0.6131471927654584
RQ-030,ambiguous_short,0.1076489569968544,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.0
RQ-031,compound_action,0.12605668399919523,1.0,1.0,1.0,1.0,1.0,1.0,1.3868528072345416
RQ-032,compound_action,0.11893868199695135,0.0,0.0,0.0,0.0,0.5,0.05555555555555555,0.0
RQ-033,compound_action,0.11453606299619423,0.0,0.0,0.0,1.0,1.0,0.14285714285714285,0.39780880120575696
RQ-034,compound_action,0.12814959400566295,0.0,0.0,0.5,0.5,0.5,0.2,0.23719771276929622
RQ-035,compound_action,0.11617387300066184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ-036,vehicle_binding,0.09699978000571718,0.0,0.0,0.0,0.0,0.0,0.017543859649122806,0.0
RQ-037,vehicle_binding,0.1086552750057308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RQ-038,vehicle_binding,0.11461021200375399,1.0,1.0,1.0,1.0,1.0,1.0,2.2461414348591218
RQ-039,vehicle_binding,0.12157287300215103,1.0,1.0,1.0,1.0,1.0,1.0,2.692888200125607
RQ-040,vehicle_binding,0.12047621199599234,0.0,0.0,0.0,0.0,0.0,0.03571428571428571,0.0
